"Place","Place.Type","Year","Geoid","Max.Month","Measure.Desc.Short","Measure.Type","measure_axis_label","no_definition","Notes","Quantile","rate_label","Strategy","wip_definition","yes_definition","n_missing","Number.of.Records","Rate.Denom","rate_mult","Value.Rate","Illicit opioid overdose deaths","Acute Hepatitis C infections","Deaths (AI/AN)","Deaths (Asian)","Deaths (Black)","Deaths (Hispanic)","Deaths (White nH)","Incarcerated individuals","Drug overdose deaths","Unemployed individuals","Community naloxone reversals","Law Enforcement naloxone reversals","People served by treatment programs","Calls for housing-related services","Children in foster care due to parental substance use","Drug overdose ED visits","Patients receiving buprenorphine","Patients receiving opioid pills","Newborns affected by SU with POSC referral","Community Response Program","Fair Chance Hiring","Housing First","Involvement of People with Lived Experience","Low/No-Cost Sterile Syringe Access","MAT in Jails","MAT Providers","Naloxone Access","Partnerships with CBOs Serving HMPs","Peer Support Specialists","Point Person","Pre-Arrest Diversion","Prescription Dropboxes","START Program","Test Strip Distribution","Uses DHHS Resources"
"Polk","Counties",1999,37149,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robeson","Counties",1999,37155,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rockingham","Counties",1999,37157,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,4,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rutherford","Counties",1999,37161,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,5,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sampson","Counties",1999,37163,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,3,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotland","Counties",1999,37165,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surry","Counties",1999,37171,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,1,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vance","Counties",1999,37181,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilkes","Counties",1999,37193,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,7,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yancey","Counties",1999,37199,12,"Opioid-involved deaths involving illicit opioids (heroin, fentanyl, and/or fentanyl analogues)","metric","Number of illicit opioid OD deaths",NA,"","Low","% Overdose deaths involving illicit opioids","2) Reduce Supply",NA,NA,0,1,2,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alamance","Counties",2000,37001,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,131521,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexander","Counties",2000,37003,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,33674,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alleghany","Counties",2000,37005,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,10687,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anson","Counties",2000,37007,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,25310,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Counties",2000,37009,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,24449,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avery","Counties",2000,37011,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,17328,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beaufort","Counties",2000,37013,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,44997,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bertie","Counties",2000,37015,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,19715,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bladen","Counties",2000,37017,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,32240,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunswick","Counties",2000,37019,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,73756,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buncombe","Counties",2000,37021,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,206991,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burke","Counties",2000,37023,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,89325,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cabarrus","Counties",2000,37025,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,132225,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camden","Counties",2000,37029,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,6922,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carteret","Counties",2000,37031,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,59383,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caswell","Counties",2000,37033,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,23550,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catawba","Counties",2000,37035,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,142515,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chatham","Counties",2000,37037,12,"Newly diagnosed acute Hepatitis C cases","metric","Number of cases",NA,"","Lowest","Rate per 100,000 residents","4) Harm Reduction",NA,NA,0,1,49721,100000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
